obs,col_direction,cpd,Y_test,bkg_type,c_base,Y_fg,Y_ambient,Y_sum,c_phys,mean_log_c_phys_meas,median_log_c_phys_meas,std_log_c_phys_meas,iqr_log_c_phys_meas,N_meas
o4,1,2,100,margin-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,100,442.710599,542.710599,0.05527808,-1.085859951,-1.112952651,0.134046502,0.138473798,8
o4,1,2,100,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.8,100,98.01097021,198.0109702,0.404018019,-0.285228466,-0.273187266,0.058283103,0.054185399,8
o4,1,4,1,margin-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,1,5.793984958,6.793984958,0.044156707,-1.07956088,-1.023870331,0.12168465,0.198679797,8
o4,1,4,1,margin-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.8,1,21.42400515,22.42400515,0.035676053,-1.167665302,-1.194758001,0.135430046,0.156535598,8
o4,1,4,1,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,1,2.0100198,3.0100198,0.099667118,-0.793737401,-0.802768301,0.138604619,0.210720997,8
o4,1,4,1,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.8,1,2.0100198,3.0100198,0.265778983,-0.453562217,-0.430984968,0.102867472,0.090308999,8
o4,1,4,10,margin-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,10,79.9726664,89.9726664,0.03334346,-1.278309539,-1.278309539,0.156998038,0.246844596,8
o4,1,4,10,margin-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.8,10,224.7576022,234.7576022,0.034077704,-1.273365331,-1.268849881,0.157319291,0.264906396,8
o4,1,4,10,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,10,14.0101386,24.0101386,0.124947217,-0.794902614,-0.758779014,0.102980673,0.066226599,8
o4,1,4,10,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.8,10,15.0101485,25.0101485,0.319870152,-0.427294534,-0.434820284,0.097597938,0.078267799,8
o4,1,4,100,margin-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,100,587.068975,687.068975,0.043663738,-1.192807436,-1.197322886,0.156129839,0.282968196,8
o4,1,4,100,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,100,108.0110692,208.0110692,0.144223094,-0.719048043,-0.756676793,0.136145074,0.084288399,8
o4,1,4,100,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.8,100,112.0111088,212.0111088,0.377338718,-0.310382382,-0.296836032,0.132677803,0.228782797,8
o4,2,2,1,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.07,1,1.0100099,2.0100099,0.034825699,-1.295543959,-1.313605759,0.085144141,0.132453198,8
o4,2,2,1,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.1,1,2.0100198,3.0100198,0.033222373,-1.252796856,-1.279889555,0.100073476,0.144494398,8
o4,2,2,10,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.07,10,14.0101386,24.0101386,0.029154351,-1.431441279,-1.451008228,0.048137914,0.054185399,8
o4,2,2,10,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.1,10,15.0101485,25.0101485,0.039983769,-1.249106423,-1.265663072,0.09501709,0.126432598,8
o4,2,2,100,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.07,100,101.0109999,201.0109999,0.034823965,-1.309111936,-1.259441987,0.139970856,0.174597397,8
o4,2,2,100,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.1,100,104.0110296,204.0110296,0.049016958,-1.14709745,-1.17117985,0.098666489,0.132453198,8
o4,3,2,1,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.8,1,2.0100198,3.0100198,0.265778983,-0.444531317,-0.467108567,0.104068593,0.102350199,8
o4,3,2,10,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,10,12.0101188,22.0101188,0.136300945,-0.707460384,-0.757130334,0.139748709,0.228782797,8
o4,3,2,10,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.8,10,15.0101485,25.0101485,0.319870152,-0.431809984,-0.434820284,0.034510771,0.042144199,8
o4,3,2,100,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,100,96.01095041,196.0109504,0.153052674,-0.702272831,-0.724850081,0.122954658,0.162556198,8
o4,3,2,100,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.8,100,109.0110791,209.0110791,0.38275483,-0.43514112,-0.43514112,0.116566207,0.174597397,8
o5,1,2,1,margin-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,1,4.805676992,5.805676992,0.05167356,-1.146752667,-1.154278417,0.114040034,0.204700397,8
o5,1,2,1,margin-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.8,1,15.27635002,16.27635002,0.049151069,-1.136879936,-1.157952036,0.086051564,0.096329599,8
o5,1,2,1,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,1,2.0100198,3.0100198,0.099667118,-0.911139099,-0.929200899,0.10653959,0.138473798,8
o5,1,2,1,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.8,1,2.0100198,3.0100198,0.265778983,-0.521293966,-0.521293966,0.071671515,0.102350199,8
o5,1,2,10,margin-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,10,55.68973951,65.68973951,0.045669233,-1.218459137,-1.219964287,0.09917687,0.132453198,8
o5,1,2,10,margin-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.8,10,160.3789957,170.3789957,0.046954145,-1.192862569,-1.195872869,0.059600898,0.096329599,8
o5,1,2,10,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,10,12.0101188,22.0101188,0.136300945,-0.766161233,-0.745089134,0.05297737,0.048164799,8
o5,1,2,10,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.8,10,13.0101287,23.0101287,0.347672979,-0.391097312,-0.386581862,0.026488685,0.042144199,8
o5,1,2,100,margin-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,100,442.710599,542.710599,0.05527808,-1.1716535,-1.16713805,0.074904034,0.114391398,8
o5,1,2,100,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.8,100,98.01097021,198.0109702,0.404018019,-0.343929315,-0.357475665,0.052461703,0.054185399,8
o5,1,4,1,margin-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,1,5.793984958,6.793984958,0.044156707,-1.07504543,-1.06601453,0.051791159,0.084288399,8
o5,1,4,1,margin-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.8,1,21.42400515,22.42400515,0.035676053,-1.158634402,-1.140572602,0.112220586,0.168576798,8
o5,1,4,1,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,1,2.0100198,3.0100198,0.099667118,-0.8388919,-0.8208301,0.093492542,0.120411998,8
o5,1,4,1,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.8,1,2.0100198,3.0100198,0.265778983,-0.449046767,-0.449046767,0.056110293,0.084288399,8
o5,1,4,10,margin-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,10,79.9726664,89.9726664,0.03334346,-1.26024774,-1.314433139,0.123804549,0.204700397,8
o5,1,4,10,margin-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.8,10,224.7576022,234.7576022,0.034077704,-1.277880781,-1.286911681,0.078499019,0.072247199,8
o5,1,4,10,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,10,14.0101386,24.0101386,0.124947217,-0.803933514,-0.788882014,0.057477926,0.096329599,8
o5,1,4,10,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.8,10,15.0101485,25.0101485,0.319870152,-0.382140035,-0.386655485,0.044095647,0.042144199,8
o5,1,4,100,margin-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,100,587.068975,687.068975,0.043663738,-1.283116435,-1.299673084,0.044095647,0.042144199,8
o5,1,4,100,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,100,108.0110692,208.0110692,0.144223094,-0.791295242,-0.768717993,0.046161049,0.084288399,8
